구분(월별),방문객수(천명)
2005-10-31,6407
2005-11-30,3795
2005-12-31,1638
2006-01-31,1689
2006-02-28,1091
2006-03-31,1840
2006-04-30,2467
2006-05-31,3113
2006-06-30,3014
2006-07-31,2015
2006-08-31,2660
2006-09-30,2142
2006-10-31,3289
2006-11-30,1773
2006-12-31,3167
2007-01-31,1221
2007-02-28,1277
2007-03-31,1725
2007-04-30,2317
2007-05-31,2530
2007-06-30,2164
2007-07-31,1772
2007-08-31,1483
2007-09-30,1766
2007-10-31,1413
2007-11-30,674
2007-12-31,3312
2008-01-31,1144
2008-02-29,630
2008-03-31,909
2008-04-30,1306
2008-05-31,1860
2008-06-30,1070
2008-07-31,748
2008-08-31,1042
2008-09-30,979
2008-10-31,1345
2008-11-30,976
2008-12-31,1751
2009-01-31,735
2009-02-28,648
2009-03-31,842
2009-04-30,1387
2009-05-31,2075
2009-06-30,1325
2009-07-31,1132
2009-08-31,1476
2009-09-30,1394
2009-10-31,1333
2009-11-30,1327
2009-12-31,1274
2010-01-31,864
2010-02-28,889
2010-03-31,1096
2010-04-30,1258
2010-05-31,1825
2010-06-30,1357
2010-07-31,1464
2010-08-31,1559
2010-09-30,1432
2010-10-31,1998
2010-11-30,2724
2010-12-31,1222
2011-01-31,982
2011-02-28,1239
2011-03-31,1354
2011-04-30,1608
2011-05-31,2591
2011-06-30,2349
2011-07-31,1727
2011-08-31,1969
2011-09-30,1978
2011-10-31,1501
2011-11-30,2914
2011-12-31,1080
2012-01-31,1060
2012-02-29,964
2012-03-31,1279
2012-04-30,1428
2012-05-31,1782
2012-06-30,1440
2012-07-31,1324
2012-08-31,1201
2012-09-30,1361
2012-10-31,1475
2012-11-30,1941
2012-12-31,836
2013-01-31,847
2013-02-28,834
2013-03-31,1179
2013-04-30,1245
2013-05-31,1692
2013-06-30,1568
2013-07-31,1389
2013-08-31,1817
2013-09-30,1663
2013-10-31,1702
2013-11-30,2302
2013-12-31,1168
2014-01-31,1180
2014-02-28,1116
2014-03-31,1501
2014-04-30,1709
2014-05-31,1792
2014-06-30,1564
2014-07-31,1663
2014-08-31,1727
2014-09-30,1657
2014-10-31,1778
2014-11-30,2043
2014-12-31,977
2015-01-31,1024
2015-02-28,972
2015-03-31,1226
2015-04-30,1395
2015-05-31,1612
2015-06-30,1113
2015-07-31,1125
2015-08-31,1336
2015-09-30,1359
2015-10-31,1625
2015-11-30,1811
2015-12-31,1600
2016-01-31,1176
2016-02-29,979
2016-03-31,1347
2016-04-30,1583
2016-05-31,2065
2016-06-30,1852
2016-07-31,1383
2016-08-31,1685
2016-09-30,1830
2016-10-31,1773
2016-11-30,1353
2016-12-31,1027
2017-01-31,759
2017-02-28,733
2017-03-31,1206
2017-04-30,1499
2017-05-31,1492
2017-06-30,1425
2017-07-31,1237
2017-08-31,1341
2017-09-30,1555
2017-10-31,1708
2017-11-30,1432
2017-12-31,1261
2018-01-31,673
2018-02-28,720
2018-03-31,1115
2018-04-30,1115
2018-05-31,1259
2018-06-30,1203
2018-07-31,921
2018-08-31,784
2018-09-30,1084
2018-10-31,1119
2018-11-30,1297
2018-12-31,1275
2019-01-31,832
2019-02-28,828
2019-03-31,990
2019-04-30,1115
2019-05-31,1328
2019-06-30,1197
2019-07-31,801
2019-08-31,988
2019-09-30,946
2019-10-31,1288
2019-11-30,1270
2019-12-31,1395
2020-01-31,816
2020-02-29,615
2020-03-31,754
2020-04-30,835
2020-05-31,793
2020-06-30,797
2020-07-31,676
2020-08-31,371
2020-09-30,730
2020-10-31,922
2020-11-30,721
2020-12-31,696
2021-01-31,605
2021-02-28,709
2021-03-31,882
2021-04-30,963
2021-05-31,823
2021-06-30,884
2021-07-31,796
2021-08-31,707
2021-09-30,865
2021-10-31,906
2021-11-30,830
2021-12-31,776
2022-01-31,713
2022-02-28,699
2022-03-31,982
2022-04-30,1129
2022-05-31,1239
2022-06-30,1075
2022-07-31,968
2022-08-31,891
2022-09-30,1140
2022-10-31,1178
2022-11-30,959
2022-12-31,736
2023-01-31,748
2023-02-28,883
2023-03-31,1132
2023-04-30,1136
2023-05-31,1124
2023-06-30,1044
2023-07-31,815
2023-08-31,842
2023-09-30,1042
2023-10-31,1362
2023-11-30,1033
2023-12-31,1300
2024-01-31,1133
2024-02-29,1202
2024-03-31,1498
2024-04-30,1798
2024-05-31,1535
2024-06-30,1621
2024-07-31,1116
2024-08-31,1573
2024-09-30,1817
2024-10-31,2092
2024-11-30,1724
2024-12-31,1770
2025-01-31,1560
2025-02-28,1239
2025-03-31,1707
2025-04-30,1894
2025-05-31,2138
2025-06-30,2147
2025-07-31,1586
2025-08-31,1781
2025-09-30,1855
2025-10-31,2037
2025-11-30,1880
2025-12-31,2200
